experiment,subject,target,vector,hemi,rotaiton_adjustment,angle,hit_ap,hit_ml,hit_dv,exclude_da_consumption,exclude_optochar,note
abo,abo14,LHA,GRAB DA2m; Chrimson-tdTomato,right,0,10,-1.7,1.05,-4.8,0,0,NA
acd,acd01,NAcCR,GRAB DA2m; Chrimson-tdTomato,right,90,10,1.94,0.9,-4.1,0,0,NA
acd,acd01,NAcCC,GRAB DA2m; Chrimson-tdTomato,left,0,0,1.1,0.8,-4.35,0,0,NA
acd,acd01,NAcShL,GRAB DA2m; Chrimson-tdTomato,left,0,10,0.86,1.7,-4.9,0,0,NA
acd,acd01,DMS,GRAB DA2m; Chrimson-tdTomato,right,90,5,0.02,1.4,-2.5,0,0,NA
acd,acd01,DLS,GRAB DA2m; Chrimson-tdTomato,right,0,5,-0.82,2.75,-2.8,0,0,NA
acd,acd01,TS,GRAB DA2m; Chrimson-tdTomato,right,0,10,-1.82,3.15,-3.35,0,0,NA
acd,acd01,LHA,GRAB DA2m; Chrimson-tdTomato,left,0,0,-1.58,0.95,-4.65,0,0,NA
acd,acd01,LHA,GRAB DA2m; Chrimson-tdTomato,right,0,10,-1.58,1,-4.6,0,0,NA
acd,acd02,NAcCR,GRAB DA2m; Chrimson-tdTomato,right,90,10,1.94,0.9,-4.05,0,0,NA
acd,acd02,NAcCC,GRAB DA2m; Chrimson-tdTomato,left,0,0,0.86,0.65,-4.4,0,0,NA
acd,acd02,NAcShL,GRAB DA2m; Chrimson-tdTomato,left,0,10,0.62,2.2,-4.9,0,0,NA
acd,acd02,DMS,GRAB DA2m; Chrimson-tdTomato,right,90,5,0.14,1.25,-2.65,0,0,NA
acd,acd02,DLS,GRAB DA2m; Chrimson-tdTomato,right,0,5,-0.7,2.5,-3.1,0,0,NA
acd,acd02,TS,GRAB DA2m; Chrimson-tdTomato,right,0,10,-1.7,3.1,-2.95,0,0,NA
acd,acd02,LHA,GRAB DA2m; Chrimson-tdTomato,right,0,0,-1.46,1.05,-4.8,0,0,NA
acd,acd02,LHA,GRAB DA2m; Chrimson-tdTomato,left,0,10,-1.82,0.8,-4.7,0,0,NA
acd,acd03,NAcCR,GRAB DA2m; Chrimson-tdTomato,right,90,10,1.94,0.9,-4.05,0,0,NA
acd,acd03,NAcCC,GRAB DA2m; Chrimson-tdTomato,left,0,0,0.98,0.7,-4.3,0,0,NA
acd,acd03,NAcShL,GRAB DA2m; Chrimson-tdTomato,left,0,10,0.74,1.8,-4.75,0,0,NA
acd,acd03,DMS,GRAB DA2m; Chrimson-tdTomato,right,90,5,0.14,1.4,-2.65,0,0,NA
acd,acd03,DLS,GRAB DA2m; Chrimson-tdTomato,right,0,5,-0.7,2.6,-2.6,0,0,NA
acd,acd03,TS,GRAB DA2m; Chrimson-tdTomato,right,0,10,-1.94,3.2,-3.45,0,0,NA
acd,acd03,LHA,GRAB DA2m; Chrimson-tdTomato,right,0,0,-1.82,1.1,-4.7,0,0,NA
acd,acd03,LHA,GRAB DA2m; Chrimson-tdTomato,left,0,10,-1.82,0.8,-4.7,0,0,NA
acd,acd04,NAcCR,GRAB DA2m; Chrimson-tdTomato,right,90,10,1.94,0.9,-4.1,0,0,NA
acd,acd04,NAcCC,GRAB DA2m; Chrimson-tdTomato,left,0,0,1.18,0.75,-4.4,0,0,NA
acd,acd04,NAcShL,GRAB DA2m; Chrimson-tdTomato,left,0,10,0.98,2.15,-4.7,0,0,NA
acd,acd04,DMS,GRAB DA2m; Chrimson-tdTomato,right,90,5,0.14,1.3,-2.8,0,0,NA
acd,acd04,DLS,GRAB DA2m; Chrimson-tdTomato,right,0,5,-0.58,2.9,-2.9,0,0,NA
acd,acd04,TS,GRAB DA2m; Chrimson-tdTomato,right,0,10,-1.82,3.15,-3.25,0,0,NA
acd,acd04,LHA,GRAB DA2m; Chrimson-tdTomato,right,0,0,-1.58,1.25,-4.6,0,0,NA
acd,acd04,LHA,GRAB DA2m; Chrimson-tdTomato,left,0,10,-1.58,0.95,-4.8,0,0,NA
acd,acd05,NAcCR,GRAB DA2m; Chrimson-tdTomato,right,90,10,1.94,0.9,-4.2,0,0,NA
acd,acd05,NAcCC,GRAB DA2m; Chrimson-tdTomato,left,0,0,1.1,0.8,-4.4,0,0,NA
acd,acd05,NAcShL,GRAB DA2m; Chrimson-tdTomato,left,0,10,0.86,1.8,-4.9,0,0,NA
acd,acd05,DMS,GRAB DA2m; Chrimson-tdTomato,right,90,5,0.38,1.3,-2.65,0,0,NA
acd,acd05,DLS,GRAB DA2m; Chrimson-tdTomato,right,0,5,-0.46,2.8,-2.8,0,0,NA
acd,acd05,TS,GRAB DA2m; Chrimson-tdTomato,right,0,10,-1.46,3.05,-3.2,0,0,NA
acd,acd05,LHA,GRAB DA2m; Chrimson-tdTomato,right,0,0,-1.58,1.1,-4.6,0,0,NA
acd,acd05,LHA,GRAB DA2m; Chrimson-tdTomato,left,0,10,-1.7,1,-4.7,0,0,NA
acd,acd06,NAcCR,GRAB DA2m; Chrimson-tdTomato,left,90,10,NA,NA,NA,1,1,tissue lost
acd,acd06,NAcCC,GRAB DA2m; Chrimson-tdTomato,left,0,0,0.74,0.7,-4.5,0,0,NA
acd,acd06,NAcShL,GRAB DA2m; Chrimson-tdTomato,right,0,10,0.5,1.85,-4.9,0,0,NA
acd,acd06,DMS,GRAB DA2m; Chrimson-tdTomato,right,90,5,0.14,1.4,-2.7,0,0,NA
acd,acd06,DLS,GRAB DA2m; Chrimson-tdTomato,left,0,5,-0.58,2.8,-2.8,0,0,NA
acd,acd06,TS,GRAB DA2m; Chrimson-tdTomato,left,0,10,-1.82,3,-3.5,0,0,NA
acd,acd06,LHA,GRAB DA2m; Chrimson-tdTomato,left,0,0,-1.46,1.1,-4.5,0,0,NA
acd,acd06,LHA,GRAB DA2m; Chrimson-tdTomato,right,0,10,-1.82,1.1,-4.55,0,0,NA
acd,acd07,NAcCR,GRAB DA2m; Chrimson-tdTomato,left,90,10,1.78,0.9,-4,0,0,NA
acd,acd07,NAcCC,GRAB DA2m; Chrimson-tdTomato,left,0,0,1.1,0.75,-4.3,0,0,NA
acd,acd07,NAcShL,GRAB DA2m; Chrimson-tdTomato,right,0,10,0.74,1.8,-5,0,0,NA
acd,acd07,DMS,GRAB DA2m; Chrimson-tdTomato,right,90,5,0.02,1.3,-2.7,0,0,NA
acd,acd07,DLS,GRAB DA2m; Chrimson-tdTomato,left,0,5,-0.82,2.6,-2.9,0,0,NA
acd,acd07,TS,GRAB DA2m; Chrimson-tdTomato,left,0,10,-1.94,2.9,-3.5,0,0,NA
acd,acd07,LHA,GRAB DA2m; Chrimson-tdTomato,left,0,0,-1.94,1,-4.75,0,0,NA
acd,acd07,LHA,GRAB DA2m; Chrimson-tdTomato,right,0,10,-1.94,1.05,-4.75,0,0,NA
acd,acd08,NAcCR,GRAB DA2m; Chrimson-tdTomato,right,90,10,1.78,0.9,-4.1,0,0,NA
acd,acd08,NAcCC,GRAB DA2m; Chrimson-tdTomato,left,0,0,0.86,0.9,-4.3,0,0,NA
acd,acd08,NAcShL,GRAB DA2m; Chrimson-tdTomato,left,0,10,0.62,1.9,-4.8,0,0,NA
acd,acd08,DMS,GRAB DA2m; Chrimson-tdTomato,right,90,5,0.26,1.1,-2.95,0,0,NA
acd,acd08,DLS,GRAB DA2m; Chrimson-tdTomato,right,0,5,-0.58,2.85,-2.75,0,0,NA
acd,acd08,TS,GRAB DA2m; Chrimson-tdTomato,right,0,10,-1.46,3.05,-3.25,0,0,NA
acd,acd08,LHA,GRAB DA2m; Chrimson-tdTomato,right,0,0,-1.46,1.1,-4.75,0,0,NA
acd,acd08,LHA,GRAB DA2m; Chrimson-tdTomato,left,0,10,-1.46,1,-4.75,0,0,NA
acd,acd09,NAcCR,GRAB DA2m; Chrimson-tdTomato,right,90,10,1.78,0.9,-4.7,0,0,NA
acd,acd09,NAcCC,GRAB DA2m; Chrimson-tdTomato,left,0,0,0.98,0.7,-4.6,0,0,NA
